Id,Televisacion,Ipid,Ifid,EtiquetaCalificacionPrincipal,ValorCalificacionPrincipal,GradoCalificacionPrincipal,Fecha,Cuenca,Direccion,Ciudad
6351021-1-ITTV5144-1,ITTV5144-1,6351021,493591,EPM_Suma_Ponderada_Media_del_Tramo,"3,67",2,2009-01-01 00:00:00,LA MADERA,Cr 64AA x Cl 118,Medellin
6351048-1-ITTV5144-1,ITTV5144-1,6351048,493997,EPM_Suma_Ponderada_Media_del_Tramo,0,1,2009-01-01 00:00:00,LA MADERA,Cr 64AA x Cl 118,Medellin
6351098-1-ITTV5144-1,ITTV5144-1,6351098,493993,EPM_Suma_Ponderada_Media_del_Tramo,"49,57",5,2009-01-01 00:00:00,LA MADERA,Cr 64AA x Cl 118,Medellin
6351103-1-ITTV5144-1,ITTV5144-1,6351103,493365,EPM_Suma_Ponderada_Media_del_Tramo,50,5,2009-01-01 00:00:00,LA MADERA,Cr 64AA x Cl 118,Medellin
6352524-1-ITTV5144-1,ITTV5144-1,6352524,493549,EPM_Suma_Ponderada_Media_del_Tramo,"31,4",4,2009-01-01 00:00:00,LA MADERA,Cr 64AA x Cl 114A,Medellin
6352531-1-ITTV5144-1,ITTV5144-1,6352531,493543,EPM_Suma_Ponderada_Media_del_Tramo,"24,72",4,2009-01-01 00:00:00,LA MADERA,Cr 64AA x Cl 114A,Medellin
6352579-1-ITTV5144-1,ITTV5144-1,6352579,493971,EPM_Suma_Ponderada_Media_del_Tramo,"20,69",4,2009-01-01 00:00:00,LA MADERA,Cr 64AA x Cl 114,Medellin
6352583-1-ITTV5144-1,ITTV5144-1,6352583,493544,EPM_Suma_Ponderada_Media_del_Tramo,"272,96",5,2009-01-01 00:00:00,LA MADERA,Cr 64AA x Cl 114A,Medellin
6352589-1-ITTV5144-1,ITTV5144-1,6352589,493989,EPM_Suma_Ponderada_Media_del_Tramo,"15,42",4,2009-01-01 00:00:00,LA MADERA,Cr 64AA x Cl 114C,Medellin
6352590-1-ITTV5144-1,ITTV5144-1,6352590,493990,EPM_Suma_Ponderada_Media_del_Tramo,"155,13",5,2009-01-01 00:00:00,LA MADERA,Cr 64AA x Cl 114A,Medellin
9313088-1-ITTV3554,ITTV3554,9313088,9313088,EPM_Suma_Ponderada_Media_del_Tramo,0,1,2009-01-01 00:00:00,LA DOCTORA,Cl65sur  x  Cr40,Sabaneta
9313447-1-ITTV3554,ITTV3554,9313447,9313447,EPM_Suma_Ponderada_Media_del_Tramo,0,1,2009-01-01 00:00:00,LA DOCTORA,Cl65sur  x  Cr40,Sabaneta
9313448-1-ITTV3554,ITTV3554,9313448,9313448,EPM_Suma_Ponderada_Media_del_Tramo,"23,95",4,2009-01-01 00:00:00,LA DOCTORA,Cl65sur  x  Cr40,Sabaneta
